EventCode	EventDescription	EventBaseCode	EventBaseDescription	EventRootCode	EventRootDescription
1312	"Threaten to boycott, embargo, or sanction"	131	Threaten non-force	13	THREATEN
1313	Threaten to reduce or break relations	131	Threaten non-force	13	THREATEN
132	"Threaten with administrative sanctions, not specified below"	132	Threaten with administrative sanctions	13	THREATEN
1321	Threaten to impose restrictions on political freedoms 	132	Threaten with administrative sanctions	13	THREATEN
1322	Threaten to ban political parties or politicians	132	Threaten with administrative sanctions	13	THREATEN
1323	Threaten to impose curfew	132	Threaten with administrative sanctions	13	THREATEN
1324	Threaten to impose state of emergency or martial law	132	Threaten with administrative sanctions	13	THREATEN
133	"Threaten political dissent, protest"	133	"Threaten political dissent, protest"	13	THREATEN
134	Threaten to halt negotiations	134	Threaten to halt negotiations	13	THREATEN
135	Threaten to halt mediation	135	Threaten to halt mediation	13	THREATEN
136	Threaten to halt international involvement (non-mediation)	136	Threaten to halt international involvement (non-mediation)	13	THREATEN
137	Threaten with violent repression	137	Threaten with violent repression	13	THREATEN
138	"Threaten to use military force, not specified below"	138	Threaten to use military force	13	THREATEN
1381	Threaten blockade	138	Threaten to use military force	13	THREATEN
1382	Threaten occupation 	138	Threaten to use military force	13	THREATEN
1383	Threaten unconventional violence 	138	Threaten to use military force	13	THREATEN
1384	Threaten conventional attack  	138	Threaten to use military force	13	THREATEN
1385	Threaten attack with WMD	138	Threaten to use military force	13	THREATEN
139	Give ultimatum	139	Give ultimatum	13	THREATEN
140	"Engage in political dissent, not specified below"	140	"Engage in political dissent, not specified below"	14	PROTEST
141	Demonstrate or rally	141	Demonstrate or rally	14	PROTEST
1411	Demonstrate for leadership change	141	Demonstrate or rally	14	PROTEST
1412	Demonstrate for policy change	141	Demonstrate or rally	14	PROTEST
1413	Demonstrate for rights	141	Demonstrate or rally	14	PROTEST
1414	"Demonstrate for change in institutions, regime"	141	Demonstrate or rally	14	PROTEST
142	"Conduct hunger strike, not specified below"	142	Conduct hunger strike	14	PROTEST
1421	Conduct hunger strike for leadership change	142	Conduct hunger strike	14	PROTEST
1422	Conduct hunger strike for policy change	142	Conduct hunger strike	14	PROTEST
1423	Conduct hunger strike for rights	142	Conduct hunger strike	14	PROTEST
1424	"Conduct hunger strike for change in institutions, regime "	142	Conduct hunger strike	14	PROTEST
143	"Conduct strike or boycott, not specified below"	143	Conduct strike or boycott	14	PROTEST
1431	Conduct strike or boycott for leadership change  	143	Conduct strike or boycott	14	PROTEST
1432	Conduct strike or boycott for policy change	143	Conduct strike or boycott	14	PROTEST
1433	Conduct strike or boycott for rights	143	Conduct strike or boycott	14	PROTEST
1434	"Conduct strike or boycott for change in institutions, regime"	143	Conduct strike or boycott	14	PROTEST
144	"Obstruct passage, block"	144	"Obstruct passage, block"	14	PROTEST
1441	Obstruct passage to demand leadership change 	144	"Obstruct passage, block"	14	PROTEST
1442	Obstruct passage to demand policy change	144	"Obstruct passage, block"	14	PROTEST
1443	Obstruct passage to demand rights	144	"Obstruct passage, block"	14	PROTEST
1444	"Obstruct passage to demand change in institutions, regime"	144	"Obstruct passage, block"	14	PROTEST
145	"Protest violently, riot"	145	"Protest violently, riot"	14	PROTEST
1451	Engage in violent protest for leadership change  	145	"Protest violently, riot"	14	PROTEST
1452	Engage in violent protest for policy change	145	"Protest violently, riot"	14	PROTEST
1453	Engage in violent protest for rights	145	"Protest violently, riot"	14	PROTEST
1454	"Engage in violent protest for  change in institutions, regime"	145	"Protest violently, riot"	14	PROTEST
150	"Demonstrate military or police power, not specified below"	150	"Demonstrate military or police power, not specified below"	15	EXHIBIT FORCE POSTURE
151	Increase police alert status	151	Increase police alert status	15	EXHIBIT FORCE POSTURE
152	Increase military alert status	152	Increase military alert status	15	EXHIBIT FORCE POSTURE
153	Mobilize or increase police power	153	Mobilize or increase police power	15	EXHIBIT FORCE POSTURE
154	Mobilize or increase armed forces 	154	Mobilize or increase armed forces 	15	EXHIBIT FORCE POSTURE
160	"Reduce relations, not specified below"	160	"Reduce relations, not specified below"	16	REDUCE RELATIONS
161	Reduce or break diplomatic relations	161	Reduce or break diplomatic relations	16	REDUCE RELATIONS
162	"Reduce or stop aid, not specified below"	162	Reduce or stop aid	16	REDUCE RELATIONS
1621	Reduce or stop economic assistance	162	Reduce or stop aid	16	REDUCE RELATIONS
1622	Reduce or stop military assistance	162	Reduce or stop aid	16	REDUCE RELATIONS
1623	Reduce or stop humanitarian assistance	162	Reduce or stop aid	16	REDUCE RELATIONS
163	"Impose embargo, boycott, or sanctions"	163	"Impose embargo, boycott, or sanctions"	16	REDUCE RELATIONS
164	Halt negotiations	164	Halt negotiations	16	REDUCE RELATIONS
165	Halt mediation	165	Halt mediation	16	REDUCE RELATIONS
166	"Expel or withdraw, not specified below"	166	Expel or withdraw	16	REDUCE RELATIONS
1661	Expel or withdraw peacekeepers	166	Expel or withdraw	16	REDUCE RELATIONS
1662	"Expel or withdraw inspectors, observers"	166	Expel or withdraw	16	REDUCE RELATIONS
1663	Expel or withdraw aid agencies	166	Expel or withdraw	16	REDUCE RELATIONS
170	"Coerce, not specified below "	170	"Coerce, not specified below "	17	COERCE
171	"Seize or damage property, not specified below"	171	Seize or damage property	17	COERCE
1711	Confiscate property	1711	Confiscate property	17	COERCE
1712	Destroy property	1712	Destroy property	17	COERCE
172	"Impose administrative sanctions, not specified below"	172	Impose administrative sanctions	17	COERCE
1721	Impose restrictions on political freedoms  	172	Impose administrative sanctions	17	COERCE
1722	Ban political parties or politicians	172	Impose administrative sanctions	17	COERCE
1723	Impose curfew	172	Impose administrative sanctions	17	COERCE
1724	Impose state of emergency or martial law	172	Impose administrative sanctions	17	COERCE
173	"Arrest, detain, or charge with legal action "	173	"Arrest, detain, or charge with legal action "	17	COERCE
174	Expel or deport individuals	174	Expel or deport individuals	17	COERCE
175	Use tactics of violent repression  	175	Use tactics of violent repression  	17	COERCE
180	"Use unconventional violence, not specified below"	180	"Use unconventional violence, not specified below"	18	ASSAULT
181	"Abduct, hijack, or take hostage "	181	"Abduct, hijack, or take hostage "	18	ASSAULT
182	"Physically assault, not specified below"	182	Physically assault	18	ASSAULT
1821	Sexually assault	182	Physically assault	18	ASSAULT
1822	Torture	182	Physically assault	18	ASSAULT
1823	Kill by physical assault	182	Physically assault	18	ASSAULT
183	"Conduct suicide, car, or other non-military bombing, not spec below"	183	"Conduct suicide, car, or other non-military bombing"	18	ASSAULT
1831	Carry out suicide bombing	183	"Conduct suicide, car, or other non-military bombing"	18	ASSAULT
1832	Carry out car bombing	183	"Conduct suicide, car, or other non-military bombing"	18	ASSAULT
1833	Carry out roadside bombing 	183	"Conduct suicide, car, or other non-military bombing"	18	ASSAULT
184	Use as human shield 	184	Use as human shield 	18	ASSAULT
185	Attempt to assassinate	185	Attempt to assassinate	18	ASSAULT
186	Assassinate 	186	Assassinate 	18	ASSAULT
190	"Use conventional military force, not specified below"	190	Use conventional military force	19	FIGHT
191	"Impose blockade, restrict movement "	191	"Impose blockade, restrict movement "	19	FIGHT
192	Occupy territory	192	Occupy territory	19	FIGHT
193	Fight with small arms and light weapons	193	Fight with small arms and light weapons	19	FIGHT
194	Fight with artillery and tanks	194	Fight with artillery and tanks	19	FIGHT
195	Employ aerial weapons	195	Employ aerial weapons	19	FIGHT
196	Violate ceasefire 	196	Violate ceasefire 	19	FIGHT
200	"Use unconventional mass violence, not specified below"	200	"Use unconventional mass violence, not specified below"	20	USE UNCONVENTIONAL MASS VIOLENCE
201	Engage in mass expulsion	201	Engage in mass expulsion	20	USE UNCONVENTIONAL MASS VIOLENCE
202	Engage in mass killings	202	Engage in mass killings	20	USE UNCONVENTIONAL MASS VIOLENCE
203	Engage in ethnic cleansing	203	Engage in ethnic cleansing	20	USE UNCONVENTIONAL MASS VIOLENCE
204	"Use weapons of mass destruction, not specified below"	204	Use weapons of mass destruction	20	USE UNCONVENTIONAL MASS VIOLENCE
2041	"Use chemical, biological, or radiologicalweapons"	204	Use weapons of mass destruction	20	USE UNCONVENTIONAL MASS VIOLENCE
2042	Detonate nuclear weapons	204	Use weapons of mass destruction	20	USE UNCONVENTIONAL MASS VIOLENCE
